Table,Column,Position,Oracle_Data_Type,SQL_Server_Data_Type,GridName,GridID
R5READINGSINTERFACE,REI_TRANSID,1,NUMBER,bigint,,
R5REDUCTIONS,RED_PART,1,VARCHAR2(30),nvarchar(30),,
R5REDUCTIONS,RED_PART_ORG,2,VARCHAR2(15),nvarchar(15),,
R5REDUCTIONS,RED_SUPPLIER,3,VARCHAR2(30),nvarchar(30),,
R5REDUCTIONS,RED_SUPPLIER_ORG,4,VARCHAR2(15),nvarchar(15),,
R5REDUCTIONS,RED_LINE,5,"NUMBER(8,0)","numeric(8,0)",,
R5REGIONACTUALTEMPS,RAT_REGION,1,VARCHAR2(30),nvarchar(30),,
R5REGIONACTUALTEMPS,RAT_REGION_ORG,2,VARCHAR2(15),nvarchar(15),,
R5REGIONACTUALTEMPS,RAT_DATE,3,DATE,datetime,,
R5REGIONHISTORICALTEMPS,RHT_REGION,1,VARCHAR2(30),nvarchar(30),,
R5REGIONHISTORICALTEMPS,RHT_REGION_ORG,2,VARCHAR2(15),nvarchar(15),,
R5REGIONHISTORICALTEMPS,RHT_DAYOFYEAR,3,"NUMBER(3,0)","numeric(3,0)",,
R5REGIONS,RGN_CODE,1,VARCHAR2(30),nvarchar(30),,
R5REGIONS,RGN_ORG,2,VARCHAR2(15),nvarchar(15),,
R5REJECTREASONS,RJR_CODE,1,VARCHAR2(15),nvarchar(15),,
R5RELATEDMETERREADINGS,RMR_EVENT,1,VARCHAR2(30),nvarchar(30),,
R5RELATEDMETERREADINGS,RMR_UOM,2,VARCHAR2(30),nvarchar(30),,
R5RELIABILITY,REL_OBJECT,1,VARCHAR2(30),nvarchar(30),,
R5RELIABILITY,REL_OBJECT_ORG,2,VARCHAR2(15),nvarchar(15),,
R5RELIABILITY,REL_TYPE,3,VARCHAR2(4),nvarchar(4),,
R5RELIABILITY,REL_EVENT,4,VARCHAR2(30),nvarchar(30),,
