tkd_trans,tkd_promptdata1,legacy_part_number,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,37980,E04-91-0591-058,PART,PART,*,*,12972#BCRTC,+,+
LDOC,37981,E04-91-0591-059,PART,PART,*,*,12976#BCRTC,+,+
LDOC,37982,E04-91-0591-060,PART,PART,*,*,12975#BCRTC,+,+
LDOC,37983,E04-91-0591-061,PART,PART,*,*,12974#BCRTC,+,+
LDOC,37984,E04-91-0591-062,PART,PART,*,*,12973#BCRTC,+,+
LDOC,37985,E04-91-0591-063,PART,PART,*,*,12971#BCRTC,+,+
LDOC,37986,E04-91-0591-067,PART,PART,*,*,14092#BCRTC,+,+
LDOC,37987,E04-91-0591-069,PART,PART,*,*,14094#BCRTC,+,+
LDOC,37988,E04-91-0591-070,PART,PART,*,*,14095#BCRTC,+,+
LDOC,37989,E04-91-0591-071,PART,PART,*,*,14096#BCRTC,+,+
LDOC,37990,E04-91-0591-072,PART,PART,*,*,14267#BCRTC,+,+
LDOC,37991,E04-91-0591-073,PART,PART,*,*,14266#BCRTC,+,+
LDOC,37992,E04-91-0591-074,PART,PART,*,*,14265#BCRTC,+,+
LDOC,37993,E04-91-0591-075,PART,PART,*,*,14264#BCRTC,+,+
LDOC,37994,E04-91-0591-076,PART,PART,*,*,14263#BCRTC,+,+
LDOC,37995,E04-91-0591-077,PART,PART,*,*,14262#BCRTC,+,+
LDOC,37996,E04-91-0591-078,PART,PART,*,*,14260#BCRTC,+,+
LDOC,37997,E04-91-0591-079,PART,PART,*,*,14261#BCRTC,+,+
LDOC,37998,E04-91-0591-080,PART,PART,*,*,14259#BCRTC,+,+
LDOC,37999,E04-92-0592-001,PART,PART,*,*,6933#BCRTC,+,+
LDOC,38000,E04-92-0592-002,PART,PART,*,*,7119#BCRTC,+,+
LDOC,38001,E04-92-0592-007,PART,PART,*,*,9161#BCRTC,+,+
LDOC,38002,E04-92-0592-008,PART,PART,*,*,9160#BCRTC,+,+
LDOC,38003,E04-92-0592-009,PART,PART,*,*,9159#BCRTC,+,+
LDOC,38004,E04-92-0592-010,PART,PART,*,*,9158#BCRTC,+,+
LDOC,38005,E04-92-0592-013,PART,PART,*,*,9306#BCRTC,+,+
LDOC,38006,E04-92-0592-015,PART,PART,*,*,9308#BCRTC,+,+
LDOC,38007,E04-92-0592-016,PART,PART,*,*,9309#BCRTC,+,+
LDOC,38008,E04-92-0592-017,PART,PART,*,*,9310#BCRTC,+,+
LDOC,38009,E04-92-0592-018,PART,PART,*,*,9311#BCRTC,+,+
LDOC,38010,E04-92-0592-020,PART,PART,*,*,3650#BCRTC,+,+
LDOC,38011,E04-92-0592-026,PART,PART,*,*,9945#BCRTC,+,+
LDOC,38012,E04-92-0592-027,PART,PART,*,*,10087#BCRTC,+,+
LDOC,38013,E04-92-0592-029,PART,PART,*,*,10113#BCRTC,+,+
LDOC,38014,E04-92-0592-034,PART,PART,*,*,10544#BCRTC,+,+
LDOC,38015,E04-92-0592-035,PART,PART,*,*,10579#BCRTC,+,+
LDOC,38016,E04-92-0592-036,PART,PART,*,*,10601#BCRTC,+,+
LDOC,38017,E04-92-0592-037,PART,PART,*,*,12147#BCRTC,+,+
LDOC,38018,E04-92-0592-038,PART,PART,*,*,12148#BCRTC,+,+
