tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,33689,PART,PART,*,*,14190#BCRTC,+,+
LDOC,33690,PART,PART,*,*,14250#BCRTC,+,+
LDOC,33691,PART,PART,*,*,14246#BCRTC,+,+
LDOC,33692,PART,PART,*,*,14297#BCRTC,+,+
LDOC,33693,PART,PART,*,*,14306#BCRTC,+,+
LDOC,33694,PART,PART,*,*,14320#BCRTC,+,+
LDOC,33695,PART,PART,*,*,14317#BCRTC,+,+
LDOC,33696,PART,PART,*,*,14322#BCRTC,+,+
LDOC,33697,PART,PART,*,*,14375#BCRTC,+,+
LDOC,33698,PART,PART,*,*,14430#BCRTC,+,+
LDOC,33699,PART,PART,*,*,14431#BCRTC,+,+
LDOC,33700,PART,PART,*,*,14432#BCRTC,+,+
LDOC,33701,PART,PART,*,*,14433#BCRTC,+,+
LDOC,33702,PART,PART,*,*,14434#BCRTC,+,+
LDOC,33703,PART,PART,*,*,14448#BCRTC,+,+
LDOC,33704,PART,PART,*,*,14449#BCRTC,+,+
LDOC,33705,PART,PART,*,*,3657#BCRTC,+,+
LDOC,33706,PART,PART,*,*,14450#BCRTC,+,+
LDOC,33707,PART,PART,*,*,14451#BCRTC,+,+
LDOC,33708,PART,PART,*,*,14452#BCRTC,+,+
LDOC,33709,PART,PART,*,*,14554#BCRTC,+,+
LDOC,33710,PART,PART,*,*,14566#BCRTC,+,+
LDOC,33711,PART,PART,*,*,14583#BCRTC,+,+
LDOC,33712,PART,PART,*,*,14621#BCRTC,+,+
LDOC,33713,PART,PART,*,*,14620#BCRTC,+,+
LDOC,33714,PART,PART,*,*,14619#BCRTC,+,+
LDOC,33715,PART,PART,*,*,14657#BCRTC,+,+
LDOC,33716,PART,PART,*,*,14659#BCRTC,+,+
LDOC,33717,PART,PART,*,*,14658#BCRTC,+,+
LDOC,33718,PART,PART,*,*,14722#BCRTC,+,+
LDOC,33719,PART,PART,*,*,3659#BCRTC,+,+
