msds,partNumber,Original_FileName,legacy_part_number,Document,desc,tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
0181,5354,msds0181_202305022000.pdf,M52-02-0000-006,32899," DISINFECTANT, MIRACLE",LDOC,,PART,PART,*,*,5354#BCRTC,+,+
0183,20838,msds0183_202305022000.pdf,M40-57-0000-064,32900," GREASE, LPS WHITE LITHIU",LDOC,,PART,PART,*,*,20838#BCRTC,+,+
0184,11066,msds0184_202305022000.pdf,M38-40-0000-091,32901," SOLUTION, EYEWASH FLUID",LDOC,,PART,PART,*,*,11066#BCRTC,+,+
0184,12536,msds0184_202305022000.pdf,M38-40-0000-093,32901," SOLUTION, EYEWASH STAT",LDOC,,PART,PART,*,*,12536#BCRTC,+,+
0186,5312,msds0186_202305022000.pdf,M43-17-0000-066,32902," ADHESIVE, BLACK MAX 1oz",LDOC,,PART,PART,*,*,5312#BCRTC,+,+
0188,5878,msds0188_202305022000.pdf,M40-57-0000-012,32903," GREASE, TRC#880 #2-429ML",LDOC,,PART,PART,*,*,5878#BCRTC,+,+
0188,13111,msds0188_202305022000.pdf,M40-57-0000-049,32903," GREASE, TRC#880 #2 5 GAL",LDOC,,PART,PART,*,*,13111#BCRTC,+,+
0189,5261,msds0189_202305031559.pdf,M40-57-0000-020,33920," GREASE, VEH WHEEL BRG",LDOC,,PART,PART,*,*,5261#BCRTC,+,+
0190,11124,msds0190_202305022004.pdf,A11-04-0203-018,32905," ADHESIVE, METAL-GLASS",LDOC,,PART,PART,*,*,11124#BCRTC,+,+
0192,10148,msds0192_202305022004.pdf,A13-01-4070-301,32906," STICK, LUBE",LDOC,,PART,PART,*,*,10148#BCRTC,+,+
0193,9123,msds0193_202305022004.pdf,M40-57-0000-002,32907," GREASE, RINGSPRING FS-1",LDOC,,PART,PART,*,*,9123#BCRTC,+,+
